name,pos,tier,team,adp,proj_pts,vor,p_avail_r1,p_avail_r2,p_avail_r3,p_avail_r4,p_avail_r5,p_avail_r6,p_avail_r7,p_avail_r8,p_avail_r9,p_avail_r10,p_avail_r11,p_avail_r12,p_avail_r13,p_avail_r14,p_avail_r15,p_avail_r16
Kyren Williams,RB,6,LAR,37.0,189.0,51.6,1.000,0.996,0.846,0.344,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jayden Daniels,QB,2,WAS,40.0,330.5,49.0,1.000,0.999,0.912,0.530,0.078,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Javonte Williams,RB,7,DAL,38.0,185.5,48.1,1.000,0.998,0.879,0.410,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breece Hall,RB,7,NYJ,39.0,185.5,48.1,1.000,0.998,0.905,0.464,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ladd McConkey,WR,7,LAC,36.0,197.5,46.4,1.000,0.998,0.827,0.302,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Travis Etienne Jr.,RB,8,NO,46.0,175.0,37.6,1.000,0.999,0.969,0.750,0.244,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Malik Nabers,WR,8,NYG,41.0,187.0,35.9,1.000,0.999,0.926,0.555,0.087,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Zay Flowers,WR,8,BAL,42.0,187.0,35.9,1.000,0.998,0.937,0.608,0.109,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Joe Burrow,QB,3,CIN,48.0,316.5,35.0,1.000,1.000,0.975,0.823,0.359,0.066,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tucker Kraft,TE,3,GB,67.0,130.5,35.0,1.000,1.000,0.998,0.981,0.874,0.592,0.238,0.058,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jaylen Waddle,WR,9,DEN,44.0,183.5,32.4,1.000,1.000,0.956,0.699,0.175,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kyle Pitts,TE,3,ATL,72.0,127.0,31.5,1.000,1.000,0.999,0.989,0.924,0.749,0.402,0.144,0.010,0.002,0.000,0.000,0.000,0.000,0.000,0.000
Cam Skattebo,RB,9,NYG,50.0,168.0,30.6,1.000,1.000,0.982,0.853,0.418,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Davante Adams,WR,10,LAR,45.0,180.0,28.9,1.000,1.000,0.965,0.724,0.200,0.018,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Justin Herbert,QB,3,LAC,52.0,309.5,28.0,1.000,1.000,0.986,0.888,0.520,0.190,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jalen Hurts,QB,3,PHI,53.0,309.5,28.0,1.000,1.000,0.989,0.902,0.580,0.239,0.042,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sam LaPorta,TE,3,DET,78.0,120.0,24.5,1.000,1.000,0.998,0.992,0.954,0.836,0.568,0.316,0.052,0.007,0.001,0.000,0.000,0.000,0.000,0.000
Terry McLaurin,WR,11,WAS,49.0,173.0,21.9,1.000,1.000,0.980,0.833,0.353,0.072,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jameson Williams,WR,11,DET,51.0,173.0,21.9,1.000,1.000,0.981,0.875,0.448,0.109,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Caleb Williams,QB,3,CHI,61.0,302.5,21.0,1.000,1.000,0.995,0.967,0.795,0.498,0.179,0.017,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Harold Fannin Jr.,TE,3,CLE,81.0,116.5,21.0,1.000,1.000,0.999,0.995,0.969,0.888,0.656,0.422,0.107,0.028,0.004,0.001,0.000,0.000,0.000,0.000
TreVeyon Henderson,RB,10,NE,59.0,157.5,20.1,1.000,1.000,0.996,0.944,0.705,0.354,0.038,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Quinshon Judkins,RB,10,CLE,60.0,157.5,20.1,1.000,1.000,0.994,0.954,0.728,0.397,0.064,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Luther Burden III,WR,12,CHI,54.0,169.5,18.4,1.000,1.000,0.989,0.904,0.573,0.209,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Garrett Wilson,WR,12,NYJ,55.0,169.5,18.4,0.919,1.000,0.991,0.913,0.593,0.230,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
D’Andre Swift,RB,11,CHI,62.0,154.0,16.6,1.000,1.000,0.997,0.966,0.793,0.476,0.124,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bucky Irving,RB,11,TB,63.0,154.0,16.6,1.000,1.000,0.994,0.970,0.805,0.492,0.131,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
David Montgomery,RB,11,HOU,64.0,154.0,16.6,1.000,1.000,0.996,0.972,0.820,0.529,0.167,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mike Evans,WR,13,SF,56.0,166.0,14.9,0.770,1.000,0.989,0.927,0.632,0.272,0.030,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Christian Watson,WR,13,GB,57.0,166.0,14.9,0.408,1.000,0.993,0.948,0.675,0.304,0.048,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Trevor Lawrence,QB,3,JAX,68.0,295.5,14.0,1.000,1.000,0.998,0.977,0.883,0.703,0.416,0.081,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rhamondre Stevenson,RB,12,NE,66.0,150.5,13.1,0.982,1.000,0.999,0.980,0.855,0.576,0.221,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rome Odunze,WR,14,CHI,58.0,162.5,11.4,0.089,1.000,0.994,0.940,0.684,0.348,0.069,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chuba Hubbard,RB,13,CAR,70.0,147.0,9.6,0.949,1.000,0.998,0.983,0.891,0.681,0.312,0.109,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tony Pollard,RB,13,TEN,71.0,147.0,9.6,0.682,1.000,0.998,0.986,0.907,0.718,0.361,0.137,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dak Prescott,QB,3,DAL,75.0,288.5,7.0,1.000,1.000,0.999,0.991,0.945,0.831,0.614,0.231,0.054,0.004,0.000,0.000,0.000,0.000,0.000,0.000
Bo Nix,QB,3,DEN,76.0,288.5,7.0,1.000,1.000,1.000,0.991,0.954,0.852,0.653,0.261,0.069,0.007,0.001,0.000,0.000,0.000,0.000,0.000
Travis Kelce,TE,4,KC,101.0,102.5,7.0,1.000,1.000,1.000,1.000,0.991,0.971,0.900,0.796,0.531,0.259,0.112,0.047,0.012,0.003,0.001,0.000
Jadarian Price,RB,14,SEA,73.0,143.5,6.1,0.145,1.000,0.999,0.987,0.925,0.754,0.403,0.185,0.028,0.001,0.000,0.000,0.000,0.000,0.000,0.000
DJ Moore,WR,15,BUF,65.0,155.5,4.4,0.000,0.972,0.998,0.981,0.841,0.568,0.198,0.052,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brian Thomas Jr.,WR,15,JAX,69.0,155.5,4.4,0.000,0.894,0.997,0.984,0.886,0.663,0.286,0.110,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brock Purdy,QB,3,SF,79.0,285.0,3.5,1.000,1.000,1.000,0.995,0.968,0.885,0.719,0.356,0.110,0.021,0.001,0.000,0.000,0.000,0.000,0.000
Jake Ferguson,TE,4,DAL,105.0,99.0,3.5,1.000,1.000,1.000,0.999,0.995,0.981,0.925,0.841,0.632,0.389,0.183,0.083,0.024,0.005,0.001,0.000
Dalton Kincaid,TE,4,BUF,106.0,99.0,3.5,1.000,1.000,1.000,1.000,0.996,0.983,0.937,0.858,0.656,0.434,0.217,0.100,0.032,0.006,0.003,0.001
Jaylen Warren,RB,15,PIT,77.0,140.0,2.6,0.008,0.999,1.000,0.992,0.943,0.811,0.529,0.302,0.076,0.004,0.000,0.000,0.000,0.000,0.000,0.000
Seattle Seahawks,DST,1,SEA,201.0,98.0,2.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.726,0.439
Brandon Aubrey,K,1,DAL,213.0,105.0,2.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.819,0.000
Houston Texans,DST,1,HOU,202.0,97.8,2.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.741,0.548
Ka’imi Fairbairn,K,1,HOU,214.0,104.8,2.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.820,0.632
Denver Broncos,DST,1,DEN,203.0,97.5,2.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.755,0.572
Cameron Dicker,K,1,LAC,215.0,104.5,2.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.824,0.664
Los Angeles Rams,DST,1,LAR,204.0,97.2,1.9,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.760,0.575
Jason Myers,K,1,SEA,216.0,104.2,1.9,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.831,0.672
Philadelphia Eagles,DST,1,PHI,205.0,97.0,1.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.773,0.590
Cam Little,K,1,JAX,217.0,104.0,1.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.845,0.690
Minnesota Vikings,DST,1,MIN,206.0,96.8,1.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.782,0.609
Chris Boswell,K,1,PIT,218.0,103.8,1.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.829,0.681
Jacksonville Jaguars,DST,1,JAX,207.0,96.5,1.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.771,0.600
Eddy Pineiro,K,1,SF,219.0,103.5,1.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.841,0.693
New England Patriots,DST,1,NE,208.0,96.2,0.9,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.781,0.613
Harrison Butker,K,1,KC,220.0,103.2,0.9,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.846,0.691
Baltimore Ravens,DST,2,BAL,209.0,96.0,0.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.802,0.631
Chase McLaughlin,K,2,TB,221.0,103.0,0.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.847,0.713
Pittsburgh Steelers,DST,2,PIT,210.0,95.8,0.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.795,0.639
Evan McPherson,K,2,CIN,222.0,102.8,0.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.854,0.723
Los Angeles Chargers,DST,2,LAC,211.0,95.5,0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.799,0.635
Harrison Mevis,K,2,LAR,223.0,102.5,0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.856,0.719
Isaiah Likely,TE,4,NYG,115.0,95.5,0.0,1.000,1.000,1.000,1.000,0.997,0.989,0.960,0.916,0.771,0.606,0.385,0.215,0.093,0.033,0.011,0.003
Dallas Goedert,TE,4,PHI,117.0,95.5,0.0,1.000,1.000,1.000,1.000,0.997,0.990,0.961,0.919,0.791,0.649,0.431,0.258,0.106,0.040,0.019,0.007
Mark Andrews,TE,4,BAL,118.0,95.5,0.0,1.000,1.000,1.000,1.000,0.996,0.991,0.964,0.922,0.803,0.658,0.444,0.271,0.120,0.040,0.018,0.006
George Kittle,TE,4,SF,120.0,95.5,0.0,1.000,1.000,1.000,1.000,0.998,0.992,0.967,0.931,0.810,0.684,0.476,0.304,0.146,0.060,0.026,0.009
T.J. Hockenson,TE,4,MIN,127.0,95.5,0.0,1.000,1.000,1.000,1.000,0.998,0.995,0.979,0.956,0.871,0.758,0.578,0.405,0.223,0.096,0.050,0.025
Cleveland Browns,DST,2,CLE,212.0,95.2,-0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.802,0.639
Jake Bates,K,2,DET,224.0,102.2,-0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.868,0.740
Bhayshul Tuten,RB,16,JAX,82.0,136.5,-0.9,0.000,0.993,1.000,0.996,0.968,0.878,0.641,0.419,0.162,0.030,0.001,0.000,0.000,0.000,0.000,0.000
Marvin Harrison Jr.,WR,16,ARI,74.0,148.5,-2.6,0.000,0.530,0.999,0.990,0.929,0.777,0.438,0.213,0.053,0.007,0.001,0.000,0.000,0.000,0.000,0.000
Jaxson Dart,QB,4,NYG,85.0,278.0,-3.5,1.000,1.000,1.000,0.997,0.976,0.927,0.793,0.478,0.222,0.061,0.006,0.002,0.000,0.000,0.000,0.000
Juwan Johnson,TE,5,NO,141.0,92.0,-3.5,1.000,1.000,1.000,1.000,0.999,0.997,0.991,0.980,0.940,0.880,0.765,0.625,0.438,0.277,0.174,0.095
Chig Okonkwo,TE,5,WAS,145.0,92.0,-3.5,1.000,1.000,1.000,1.000,1.000,0.999,0.991,0.982,0.948,0.899,0.807,0.677,0.492,0.317,0.219,0.120
Hunter Henry,TE,5,NE,150.0,92.0,-3.5,1.000,1.000,1.000,1.000,1.000,0.998,0.993,0.984,0.958,0.915,0.831,0.716,0.555,0.385,0.268,0.164
Carnell Tate,WR,17,TEN,80.0,145.0,-6.1,0.000,0.121,0.998,0.995,0.961,0.861,0.587,0.361,0.131,0.032,0.003,0.000,0.000,0.000,0.000,0.000
Kyler Murray,QB,4,MIN,88.0,274.5,-7.0,1.000,1.000,1.000,0.997,0.984,0.938,0.835,0.548,0.296,0.098,0.017,0.005,0.001,0.000,0.000,0.000
AJ Barner,TE,6,SEA,161.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,0.999,0.998,0.994,0.978,0.948,0.895,0.816,0.692,0.530,0.406,0.270
Brenton Strange,TE,6,JAX,164.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,0.999,0.997,0.993,0.974,0.947,0.899,0.823,0.708,0.566,0.459,0.325
Oronde Gadsden II,TE,6,LAC,166.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,0.999,0.998,0.994,0.981,0.958,0.911,0.841,0.732,0.586,0.468,0.329
Kenyon Sadiq,TE,6,NYJ,173.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,1.000,0.998,0.995,0.983,0.969,0.938,0.887,0.792,0.669,0.568,0.439
Greg Dulcich,TE,6,MIA,176.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,0.999,0.997,0.996,0.987,0.974,0.945,0.898,0.812,0.691,0.594,0.467
RJ Harvey,RB,17,DEN,92.0,129.5,-7.9,0.000,0.978,1.000,0.998,0.986,0.946,0.806,0.641,0.366,0.174,0.025,0.001,0.000,0.000,0.000,0.000
Jordyn Tyson,WR,18,NO,83.0,141.5,-9.6,0.000,0.004,0.953,0.997,0.969,0.885,0.650,0.429,0.178,0.057,0.005,0.000,0.000,0.000,0.000,0.000
Patrick Mahomes,QB,4,KC,93.0,271.0,-10.5,1.000,1.000,1.000,0.998,0.987,0.964,0.891,0.656,0.398,0.183,0.040,0.011,0.001,0.001,0.000,0.000
Rico Dowdle,RB,18,PIT,96.0,126.0,-11.4,0.000,0.828,1.000,0.999,0.991,0.961,0.845,0.711,0.462,0.256,0.051,0.002,0.000,0.000,0.000,0.000
DK Metcalf,WR,19,PIT,84.0,138.0,-13.1,0.000,0.000,0.873,0.996,0.968,0.891,0.673,0.463,0.201,0.071,0.012,0.000,0.000,0.000,0.000,0.000
Dalton Schultz,TE,7,HOU,186.0,81.8,-13.8,0.001,0.204,0.993,1.000,1.000,1.000,0.999,0.997,0.993,0.984,0.959,0.924,0.858,0.765,0.684,0.557
Matthew Stafford,QB,5,LAR,97.0,267.5,-14.0,1.000,1.000,1.000,1.000,0.995,0.975,0.925,0.739,0.499,0.284,0.093,0.040,0.009,0.004,0.002,0.002
Malik Willis,QB,5,MIA,104.0,267.5,-14.0,1.000,1.000,0.999,0.999,0.995,0.983,0.951,0.818,0.623,0.422,0.178,0.097,0.030,0.017,0.007,0.006
Terrance Ferguson,TE,7,LAR,188.0,81.2,-14.2,0.000,0.008,0.851,1.000,1.000,1.000,0.998,0.997,0.992,0.981,0.963,0.929,0.870,0.779,0.701,0.592
Blake Corum,RB,19,LAR,99.0,122.5,-14.9,0.000,0.588,1.000,0.998,0.991,0.963,0.873,0.742,0.497,0.294,0.084,0.004,0.000,0.000,0.000,0.000
J.K. Dobbins,RB,19,DEN,100.0,122.5,-14.9,0.000,0.242,1.000,0.999,0.994,0.969,0.883,0.766,0.548,0.323,0.108,0.013,0.000,0.000,0.000,0.000
Alec Pierce,WR,20,IND,86.0,134.5,-16.6,0.000,0.000,0.652,0.998,0.975,0.910,0.708,0.511,0.238,0.097,0.020,0.001,0.000,0.000,0.000,0.000
Parker Washington,WR,20,JAX,87.0,134.5,-16.6,0.000,0.000,0.408,0.997,0.977,0.916,0.736,0.540,0.271,0.110,0.027,0.003,0.000,0.000,0.000,0.000
Michael Wilson,WR,20,ARI,89.0,134.5,-16.6,0.000,0.000,0.214,0.997,0.976,0.919,0.768,0.581,0.314,0.149,0.038,0.003,0.000,0.000,0.000,0.000
Courtland Sutton,WR,20,DEN,90.0,134.5,-16.6,0.000,0.000,0.086,0.985,0.983,0.937,0.781,0.600,0.334,0.151,0.041,0.004,0.000,0.000,0.000,0.000
Colby Parkinson,TE,8,LAR,199.0,78.5,-17.0,0.000,0.000,0.043,0.370,0.933,0.997,0.999,0.998,0.995,0.987,0.974,0.956,0.914,0.856,0.798,0.694
Baker Mayfield,QB,6,TB,107.0,264.0,-17.5,1.000,1.000,1.000,1.000,0.996,0.986,0.957,0.838,0.661,0.479,0.236,0.137,0.043,0.024,0.012,0.011
Kenneth Gainwell,RB,20,TB,109.0,119.0,-18.4,0.000,0.049,0.999,0.999,0.998,0.984,0.938,0.863,0.699,0.499,0.243,0.046,0.003,0.000,0.000,0.000
Rachaad White,RB,20,WAS,110.0,119.0,-18.4,0.000,0.001,0.968,0.999,0.994,0.978,0.929,0.858,0.700,0.522,0.285,0.075,0.004,0.000,0.000,0.000
Quentin Johnston,WR,21,LAC,91.0,131.0,-20.1,0.000,0.000,0.022,0.944,0.986,0.942,0.801,0.628,0.358,0.177,0.051,0.009,0.000,0.000,0.000,0.000
Jayden Reed,WR,21,GB,94.0,131.0,-20.1,0.000,0.000,0.002,0.807,0.986,0.953,0.826,0.668,0.413,0.213,0.071,0.018,0.003,0.000,0.000,0.000
Jordan Addison,WR,21,MIN,95.0,131.0,-20.1,0.000,0.000,0.000,0.570,0.986,0.949,0.842,0.682,0.430,0.234,0.085,0.019,0.001,0.000,0.000,0.000
